,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-05-10,109.74,110.01,106.71,107.74,14884793.0,XOM
2023-05-09,108.34,110.23,108.21,109.14,11370769.0,XOM
2023-05-08,110.5,110.97,109.04,109.11,11187752.0,XOM
2023-05-05,108.55,109.43,107.53,108.68,14968197.0,XOM
2023-05-04,107.9,108.75,105.91,106.04,17177150.0,XOM
2023-05-03,109.08,109.81,107.755,107.93,16212343.0,XOM
2023-05-02,113.94,113.94,109.29,110.1,24324102.0,XOM
2023-05-01,115.99,117.3,114.45,114.67,17354987.0,XOM
2023-04-28,117.25,119.92,116.83,118.34,24381946.0,XOM
2023-04-27,115.62,117.01,114.8818,116.83,16279188.0,XOM
2023-04-26,116.03,117.09,114.68,115.45,15241048.0,XOM
2023-04-25,117.55,117.74,115.63,116.52,12179825.0,XOM
2023-04-24,115.92,118.885,115.88,118.2,15831314.0,XOM
2023-04-21,116.49,116.88,115.26,116.01,14315329.0,XOM
2023-04-20,115.125,115.68,113.2298,115.64,17038747.0,XOM
2023-04-19,116.08,116.9,115.77,116.57,10682605.0,XOM
2023-04-18,114.39,117.21,114.3,116.94,17436140.0,XOM
2023-04-17,115.49,116.51,114.42,114.7,13238679.0,XOM
2023-04-14,115.9,116.66,115.12,116.05,11530828.0,XOM
2023-04-13,114.6,115.89,114.13,115.77,12399652.0,XOM
2023-04-12,116.16,116.59,114.93,115.23,10919022.0,XOM
2023-04-11,114.96,116.1999,114.38,115.35,11758461.0,XOM
2023-04-10,114.78,116.18,114.17,114.54,13006552.0,XOM
2023-04-06,116.86,117.18,114.77,115.05,15777957.0,XOM
2023-04-05,115.35,117.0,114.31,116.99,16479469.0,XOM
2023-04-04,116.26,116.7,114.17,115.02,16365489.0,XOM
2023-04-03,113.39,116.85,113.12,116.13,28087681.0,XOM
2023-03-31,109.68,110.17,109.0499,109.66,14417961.0,XOM
2023-03-30,109.55,109.57,108.52,109.49,11578171.0,XOM
2023-03-29,108.06,109.16,107.49,108.96,14219122.0,XOM
2023-03-28,105.44,107.65,105.19,107.12,11047587.0,XOM
2023-03-27,104.74,106.48,103.91,105.8,14805911.0,XOM
2023-03-24,101.47,103.85,100.9132,103.53,13405812.0,XOM
2023-03-23,105.36,106.34,102.44,103.41,14385865.0,XOM
2023-03-22,106.8,107.175,104.56,104.59,14952666.0,XOM
2023-03-21,104.17,107.28,104.13,107.04,31592310.0,XOM
2023-03-20,99.63,102.48,99.5,102.45,32042106.0,XOM
2023-03-17,100.6,101.6149,99.14,99.84,43199470.0,XOM
2023-03-16,99.11,101.68,98.02,101.03,27476133.0,XOM
2023-03-15,102.82,104.2,100.2203,101.62,25733781.0,XOM
